language	concept	value
Jinghpo	late	shana
Lahu Shi	late	A31 lo35 lo35
Lahu Na	late	mad nau* (=not early)
Zaozou	late	ɲo 35
Jinuo	late	a la
Naxi	late	xo31
Zaiwa	late	kan 21 tse 51
Mandarin	laugh	xiao4
Nasu	laugh	ɣo, 21
Lisu	laugh	hɯ 42
Baihong	laugh	ɯ55
Hani	laugh	eel
Nosu	laugh	-
Samei	laugh	ɣә
Nisu	laugh	ɣE 21
Biyue	laugh	ga31 ʃɨ55
Kucong	laugh	ɣɯ
Nusu	laugh	ʐe
Jinghpo	laugh	mani
Lahu Shi	laugh	ɣɯ31
Lahu Na	laugh	xeul
Zaozou	laugh	ɣiæ 33
Jinuo	laugh	ɤ (same as smile)
Naxi	laugh	-
Zaiwa	laugh	vui 51
Mandarin	leaf	je zi40
Nasu	leaf	pha_ 55
Lisu	leaf	e 55 phia 31
Baihong	leaf	a55 pa31
Hani	leaf	al pavq
Nosu	leaf	qi
Samei	leaf	ʂɨ sɔ
Nisu	leaf	phi_ɛ_ 21
Biyue	leaf	a31 pa31
Kucong	leaf	çә phjɛ
Nusu	leaf	si po lo
Jinghpo	leaf	lap
Lahu Shi	leaf	sɨ54 phA 21
Lahu Na	leaf	sit phar
Zaozou	leaf	tɯ 55 pho 55
Jinuo	leaf	a pha
Naxi	leaf	ndza phiә55
Zaiwa	leaf	a 21 xa? 55
Mandarin	leaf (of tree)	shu4 ye4
Nasu	leaf (of tree)	si_ 21 pha_ 55
Lisu	leaf (of tree)	sɨ 35 phiɛ 31
Baihong	leaf (of tree)	-
Hani	leaf (of tree)	-
Nosu	leaf (of tree)	-
Samei	leaf (of tree)	-
Nisu	leaf (of tree)	sɨ_ 33 phi_ɛ_ 21
Biyue	leaf (of tree)	a31 pa31
Kucong	leaf (of tree)	-
Nusu	leaf (of tree)	-
Jinghpo	leaf (of tree)	-
Lahu Shi	leaf (of tree)	sɨ54 phA 21
Lahu Na	leaf (of tree)	-
Zaozou	leaf (of tree)	sæ 42 pho 42
Jinuo	leaf (of tree)	-
Naxi	leaf (of tree)	-
Zaiwa	leaf (of tree)	sik 55 xaʔ 55
Mandarin	leech	shui3 zhi4
Nasu	leech	-
Lisu	leech	-
Baihong	leech	a31 xa31
Hani	leech	-
Nosu	leech	nbit
Samei	leech	-
Nisu	leech	-
Biyue	leech	-
Kucong	leech	we (ve?)
Nusu	leech	hmju hmju
Jinghpo	leech	dongbyin
Lahu Shi	leech	-
Lahu Na	leech	ver
Zaozou	leech	-
Jinuo	leech	ke pjʊ
Naxi	leech	bә di nda gœ
Zaiwa	leech	-
Mandarin	left	zuo3
Nasu	left	fo, 33
Lisu	left	lɛ 42 ɣɯ 55
Baihong	left	la31 tha55
Hani	left	jaqqal
Nosu	left	laxvy
Samei	left	le va
Nisu	left	A 55 fE 33
Biyue	left	la31 mi_31
Kucong	left	la? fɯ (~fәr)
Nusu	left	we
Jinghpo	left	pai
Lahu Shi	left	lA 21 mɛ31
Lahu Na	left	lar mief
Zaozou	left	lou 42 ve~ 31
Jinuo	left	la v.
Naxi	left	ua33
Zaiwa	left	lo? 21 pa_i 21
Mandarin	leg	da4 tui3
Nasu	leg	ʈho 33 pha_ 33 (= tui); tɕhi 33 pu 33 tso_ 21 (= datui)
Lisu	leg	bu 44 vu 31
Baihong	leg	kɯ31 dʊ55
Hani	leg	saqpiaq
Nosu	leg	bburlie
Samei	leg	khe be
Nisu	leg	bo 21 phi_ɛ_ 33
Biyue	leg	bv.53 dv.53
Kucong	leg	pha wo
Nusu	leg	sa (= tui)
Jinghpo	leg	magyi
Lahu Shi	leg	phA55 ɣɔ55 du31
Lahu Na	leg	puf tie
Zaozou	leg	po 33 sɔ 33
Jinuo	leg	a phɹɔ; ʃɔ khi
Naxi	leg	khɯ (wa)
Zaiwa	leg	ta_ŋ 21 pau 55
Mandarin	lick	tian3
Nasu	lick	lɚ_ 55
Lisu	lick	lɯ 42
Baihong	lick	mɤ55
Hani	lick	mievq
Nosu	lick	yot
Samei	lick	la
Nisu	lick	lɛ_ 21
Biyue	lick	mɔ31
Kucong	lick	læ
Nusu	lick	lio (liɔ?)
Jinghpo	lick	mata
Lahu Shi	lick	lɛ31
Lahu Na	lick	shaw lier
Zaozou	lick	lio 42
Jinuo	lick	mɹɒ
Naxi	lick	ʑә31
Zaiwa	lick	jo? 21
Mandarin	lie down	tang3
Nasu	lie down	ʑi_ 55
Lisu	lie down	e 31 ta 55 xa 35
Baihong	lie down	v.55 dʒa (tɕa?)55
Hani	lie down	leeq
Nosu	lie down	gondox
Samei	lie down	ʐɨ de
Nisu	lie down	zɨ_ 21
Biyue	lie down	ji33 dza33
Kucong	lie down	go
Nusu	lie down	ɣɔ
Jinghpo	lie down	galeng
Lahu Shi	lie down	zɨ31 tA31
Lahu Na	lie down	lo
Zaozou	lie down	læ 42
Jinuo	lie down	kɹɒ tʃa
Naxi	lie down	ʑi55
Zaiwa	lie down	leʔ 21 to_ 21
Mandarin	lie, to tell	shuo huang12
Nasu	lie, to tell	-
Lisu	lie, to tell	-
Baihong	lie, to tell	dza31 ɣa31 ɣa31
Hani	lie, to tell	doq hheivq gee
Nosu	lie, to tell	mgiexshyr
Samei	lie, to tell	khi sau na
Nisu	lie, to tell	-
Biyue	lie, to tell	-
Kucong	lie, to tell	ŋo (no?) xe
Nusu	lie, to tell	lu ɕa
Jinghpo	lie, to tell	masu
Lahu Shi	lie, to tell	-
Lahu Na	lie, to tell	hef
Zaozou	lie, to tell	-
Jinuo	lie, to tell	kɤ
Naxi	lie, to tell	ɕi gwa (ɕi = person)
Zaiwa	lie, to tell	-
Mandarin	light	qing1
Nasu	light	lɔ 21
Lisu	light	lo 44
Baihong	light	pa55
Hani	light	pial
Nosu	light	yoxso
Samei	light	lʊ khɔ
Nisu	light	lA 21
Biyue	light	pa55
Kucong	light	lɔ bæ
Nusu	light	ljɔ
Jinghpo	light	tsang
Lahu Shi	light	lɔ31
Lahu Na	light	lawl
Zaozou	light	la~ 33
Jinuo	light	a hjɔ phɹe
Naxi	light	ʑu31
Zaiwa	light	som 21
Mandarin	lightning	shan dian34
Nasu	lightning	tshe 33 ɖɚ_ 55
Lisu	lightning	mu 31 bi 31
Baihong	lightning	ɤ31 mi31
Hani	lightning	aoq miaovq miaovq
Nosu	lightning	muhlit
Samei	lightning	mә gә lә ә
Nisu	lightning	mu 33 ɬɤ_ 21
Biyue	lightning	mi31 dzɤ31
Kucong	lightning	mɔ bæ
Nusu	lightning	-
Jinghpo	lightning	myihprap
Lahu Shi	lightning	mo53 pɛ31 pɛ31
Lahu Na	lightning	mud tiq por
Zaozou	lightning	mɯ 31 tɕha 33
Jinuo	lightning	tshɨ na tɯ; mi ji tɯ
Naxi	lightning	mɯ33 ji tse55
Zaiwa	lightning	la_p 55 tʃhik 55
Mandarin	like	xi huan31
Nasu	like	le 55
Lisu	like	ni 35 phu 33
Baihong	like	ga31
Hani	like	hhyul
Nosu	like	hxievur
Samei	like	ɣә ʐɨ
Nisu	like	gɯ 21
Biyue	like	mi55 mɤ31
Kucong	like	jɛ wo læ/-ga
Nusu	like	sɨ gjә
Jinghpo	like	gabu/sharong
Lahu Shi	like	xA33 lɛ31
Lahu Na	like	ha/v+ ka*
Zaozou	like	na 55
Jinuo	like	mɯ nu i/tsɒ nʊ (tsa = eat)
Naxi	like	phiә31
Zaiwa	like	ke` 21 pu 55
Mandarin	lip	chun2
Nasu	lip	ɲe_ 55 tʂho, 33
Lisu	lip	mɯ 31 lɯ 35 ku 35 dʒɪ 33
Baihong	lip	me31 lʊ55
Hani	lip	meiqjil
Nosu	lip	mipbup
Samei	lip	ɲi phi
Nisu	lip	ni_ɛ_ 21 pɛ_ 33
Biyue	lip	mi31 dʑi55
Kucong	lip	mә qu (gu?)
Nusu	lip	-
Jinghpo	lip	nten
Lahu Shi	lip	mɔ53 gɯ31
Lahu Na	lip	meod geul
Zaozou	lip	ɲi 44 ?ua 55
Jinuo	lip	mɯ kho
Naxi	lip	ge nv.55 mbi31 (upper mouth) mә nv.55 mbi31 (lower mouth)
Zaiwa	lip	nu_t 55 ku_ʔ 55
Mandarin	liquor	jiu3
Nasu	liquor	nd&hi 21
Lisu	liquor	dʒi 33 phɯ 31
Baihong	liquor	dzi31 ba31
Hani	liquor	zil baq
Nosu	liquor	nry
Samei	liquor	dʐɨ
Nisu	liquor	dʐɨ 21
Biyue	liquor	dʒɨ55 bo31
Kucong	liquor	ɟә
Nusu	liquor	ʑi
Jinghpo	liquor	tsa
Lahu Shi	liquor	dzɨ31
Lahu Na	liquor	dzil
Zaozou	liquor	ʑi 33
Jinuo	liquor	jjɛ phɯ
Naxi	liquor	ʐɯ33
Zaiwa	liquor	I 51 phe 21
Mandarin	listen	ting1
Nasu	listen	no 33
Lisu	listen	na 44 lo 35
Baihong	listen	na55 xa31
Hani	listen	-
Nosu	listen	-
Samei	listen	bɔ nɔ
Nisu	listen	no 55 ni 55
Biyue	listen	go31 la55 ba55
Kucong	listen	na ni
Nusu	listen	hnɔ
Jinghpo	listen	madat
Lahu Shi	listen	kA55
Lahu Na	listen	na
Zaozou	listen	no 55
Jinuo	listen	nɒ (nɒ ɒ ?)
Naxi	listen	-
Zaiwa	listen	kjo 21
Mandarin	little brother	di di40
Nasu	little brother	a 55 ɲi 21 zo 33
Lisu	little brother	ɲi 44 za 31
Baihong	little brother	a31 ɲi55
Hani	little brother	aq nil
Nosu	little brother	ixyi
Samei	little brother	ɲә khɔ
Nisu	little brother	nE 21 tɕhi_ɛ_ 33
Biyue	little brother	ɲi55 dʒɨ31
Kucong	little brother	ɲɛ ba
Nusu	little brother	gɤ gɤ
Jinghpo	little brother	nau
Lahu Shi	little brother	ŋA31 nA35 pA31
Lahu Na	little brother	awl ni paf
Zaozou	little brother	kæ 35 ʑa 44
Jinuo	little brother	ɲɛ zɔ
Naxi	little brother	ŋgɯ33 zɯ33
Zaiwa	little brother	a 55 ku 21
Mandarin	little sister	mei mei40
Nasu	little sister	a 55 ɲi 21 zo 33
Lisu	little sister	ɲi 44 ma 44
Baihong	little sister	a31 ɲi55 dɤ ma (younger sib)
Hani	little sister	dul ma
Nosu	little sister	hnipmop
Samei	little sister	ɲә mɔ
Nisu	little sister	nE 21 mo 21
Biyue	little sister	ɲi31 mo33
Kucong	little sister	ɲɛ ma
Nusu	little sister	gɤ gɤ
Jinghpo	little sister	nau
Lahu Shi	little sister	ŋA31 nA35 mA33
Lahu Na	little sister	awl ni ma
Zaozou	little sister	kæ 35 mi 35 ʑa 44
Jinuo	little sister	ɲɛ zɔ
Naxi	little sister	ŋgu33 me33
Zaiwa	little sister	a 55 ku 21
Mandarin	liver	gan1
Nasu	liver	sɨ 55
Lisu	liver	sɨ 31
Baihong	liver	a31 tsoŋ31
Hani	liver	caoq
Nosu	liver	sip
Samei	liver	gә
Nisu	liver	sE 21
Biyue	liver	o31 dzɨ31
Kucong	liver	a çæ
Nusu	liver	dzɨ(r)
Jinghpo	liver	sinja
Lahu Shi	liver	ɔ31 ɕɛ11
Lahu Na	liver	awl shief
Zaozou	liver	se~ 31 vu 35
Jinuo	liver	tshɨ na
Naxi	liver	sәr55
Zaiwa	liver	siŋ 21
Mandarin	long	chang2
Nasu	long	ʂɚ 33
Lisu	long	ʃɨ 44
Baihong	long	mɔ55
Hani	long	mol
Nosu	long	asho
Samei	long	go vi
Nisu	long	sE 55
Biyue	long	mo55
Kucong	long	ʝәr (ʝɚr)
Nusu	long	we
Jinghpo	long	galu
Lahu Shi	long	zɨ31
Lahu Na	long	ril
Zaozou	long	ɣe~ 55
Jinuo	long	jɒ kho la ʃɨ
Naxi	long	ʂәr
Zaiwa	long	xiŋ 51
Mandarin	look at	kan4
Nasu	look at	na_ 21
Lisu	look at	ɲi 44
Baihong	look at	f. (fɯ?)31
Hani	look at	hu
Nosu	look at	hxep
Samei	look at	ŋɤ
Nisu	look at	ni 55
Biyue	look at	di31
Kucong	look at	ŋo
Nusu	look at	ʐu
Jinghpo	look at	yu
Lahu Shi	look at	ɣɔ313
Lahu Na	look at	ni
Zaozou	look at	ŋæ 44
Jinuo	look at	tæ
Naxi	look at	ly31
Zaiwa	look at	vu 55
Mandarin	louse	shi zi10
Nasu	louse	ɕe 21
Lisu	louse	xɯ 44
Baihong	louse	o31 ɕe55
Hani	louse	seil
Nosu	louse	she
Samei	louse	gә ɕi
Nisu	louse	ɕiɛ 21
Biyue	louse	ɕi55 pv.55
Kucong	louse	çjә mɔ
Nusu	louse	ɕja
Jinghpo	louse	tsi
Lahu Shi	louse	sɯ54
Lahu Na	louse	she
Zaozou	louse	xɔ 31 o~ 33
Jinuo	louse	ɕɛ mɔ
Naxi	louse	su33
Zaiwa	louse	ʃin 21
Mandarin	lung	fei4
Nasu	lung	tshɯ 55
Lisu	lung	bu 42 mu 44
Baihong	lung	a55 po55
Hani	lung	povq
Nosu	lung	cypmop
Samei	lung	-
Nisu	lung	tʂhɨ 21
Biyue	lung	a31 pje31
Kucong	lung	a co
Nusu	lung	tshwә
Jinghpo	lung	sinwop
Lahu Shi	lung	ɔ31 tshɨ53
Lahu Na	lung	awl zhid phod
Zaozou	lung	tɕhy~i 33 phu 31
Jinuo	lung	a tshɨ
Naxi	lung	tʂhәr55
Zaiwa	lung	tsu_t 55
Mandarin	man	nan ren22
Nasu	man	zo 33
Lisu	man	za 31
Baihong	man	xa31 dʑi31 ja31
Hani	man	ssaqyossaq
Nosu	man	-
Samei	man	ʂɨ le
Nisu	man	ʔu_ 33 tsE 55 ʐo 33
Biyue	man	ja31 jo33
Kucong	man	xo qha ba
Nusu	man	ju zwɔ
Jinghpo	man	la
Lahu Shi	man	xɔ55 qhA53
Lahu Na	man	hawq qhat paf
Zaozou	man	o 55 vu 31 ʑa 44
Jinuo	man	khɒ phɒ (same as husband)
Naxi	man	-
Zaiwa	man	juʔ 21 ke 51
Mandarin	many	duo1
Nasu	many	ɳo 33
Lisu	many	mia 31
Baihong	many	ɲa31
Hani	many	miaq
Nosu	many	axnyi
Samei	many	nɔ
Nisu	many	no 33
Biyue	many	mo31
Kucong	many	a mi
Nusu	many	mjɔ
Jinghpo	many	lo
Lahu Shi	many	mA53
Lahu Na	many	mad
Zaozou	many	mi 42
Jinuo	many	tha
Naxi	many	mbɯ31
Zaiwa	many	bɯ`m 53
Mandarin	marrow	gu sui33
Nasu	marrow	-
Lisu	marrow	-
Baihong	marrow	-
Hani	marrow	saq yyuq piul taoq
Nosu	marrow	jurxiur
Samei	marrow	-
Nisu	marrow	-
Biyue	marrow	-
Kucong	marrow	a bɔ xɔ
Nusu	marrow	-
Jinghpo	marrow	lasui
Lahu Shi	marrow	-
Lahu Na	marrow	awl jaw* paw*
Zaozou	marrow	-
Jinuo	marrow	tho no
Naxi	marrow	ʂwa lәr se
Zaiwa	marrow	-
Mandarin	marry, to	jie hun21
Nasu	marry, to	-
Lisu	marry, to	-
Baihong	marry, to	-
Hani	marry, to	cuv zaq
Nosu	marry, to	xyp
Samei	marry, to	gy
Nisu	marry, to	-
Biyue	marry, to	-
Kucong	marry, to	ʝa mi bi ca
Nusu	marry, to	ji hʊn
Jinghpo	marry, to	hkungran
Lahu Shi	marry, to	-
Lahu Na	marry, to	bie* tu*
Zaozou	marry, to	-
Jinuo	marry, to	tha ja mә (= "liang ge ren zai yiqi")
Naxi	marry, to	jjɛ hʊn
Zaiwa	marry, to	-
Mandarin	meat	rou4
Nasu	meat	xo 33
Lisu	meat	xua 31
Baihong	meat	sa31
Hani	meat	saq
Nosu	meat	she
Samei	meat	ha
Nisu	meat	xo 33
Biyue	meat	sɔ31
Kucong	meat	çja
Nusu	meat	ʂo (ɕɔ?)
Jinghpo	meat	shan
Lahu Shi	meat	sA11
Lahu Na	meat	shaf
Zaozou	meat	xo 31
Jinuo	meat	a na
Naxi	meat	ʂɯ33
Zaiwa	meat	ʃo 21
Mandarin	medicine	yao4
Nasu	medicine	no 21 tshi 33
Lisu	medicine	nɛ 44 tshɨ 31
Baihong	medicine	na55 tɕi31
Hani	medicine	-
Nosu	medicine	-
Samei	medicine	-
Nisu	medicine	no 21 tshɨ 33
Biyue	medicine	tʃɨ31
Kucong	medicine	-
Nusu	medicine	-
Jinghpo	medicine	tsi
Lahu Shi	medicine	nA35 tshɨ33
Lahu Na	medicine	-
Zaozou	medicine	ʑu 44
Jinuo	medicine	-
Naxi	medicine	-
Zaiwa	medicine	tʃhi 21
Mandarin	mend (clothes)	bu3
Nasu	mend (clothes)	nɚ_ 55
Lisu	mend (clothes)	pe 44
Baihong	mend (clothes)	gʊ31
Hani	mend (clothes)	guvqtaol
Nosu	mend (clothes)	ddut
Samei	mend (clothes)	na
Nisu	mend (clothes)	nɛ_ 21 pu_ 33
Biyue	mend (clothes)	dv.31
Kucong	mend (clothes)	næ ɟu
Nusu	mend (clothes)	tʂɔ (tʂa?)
Jinghpo	mend (clothes)	gapa
Lahu Shi	mend (clothes)	nɛ35
Lahu Na	mend (clothes)	nieq
Zaozou	mend (clothes)	pho 33
Jinuo	mend (clothes)	sɨ (same as sew?)
Naxi	mend (clothes)	fv.55
Zaiwa	mend (clothes)	pho 51
Mandarin	metal	jin shu13
Nasu	metal	-
Lisu	metal	-
Baihong	metal	pʊ55 sɤ55
Hani	metal	-
Nosu	metal	shexwo
Samei	metal	hɯ (?)
Nisu	metal	-
Biyue	metal	-
Kucong	metal	-
Nusu	metal	ɕjɛ
Jinghpo	metal	ja hpri magri re ai ni
Lahu Shi	metal	-
Lahu Na	metal	-
Zaozou	metal	-
Jinuo	metal	ɕɛ
Naxi	metal	-
Zaiwa	metal	-
Mandarin	milk	niu nai33
Nasu	milk	-
Lisu	milk	-
Baihong	milk	a31 ɲu31 a55 tʃɨ55
Hani	milk	aq niuq niuq qul
Nosu	milk	-
Samei	milk	a na a bi ʐ.
Nisu	milk	-
Biyue	milk	-
Kucong	milk	ɲu ɟu
Nusu	milk	ɲu naj
Jinghpo	milk	nga chyu
Lahu Shi	milk	-
Lahu Na	milk	nud cuq xeul
Zaozou	milk	-
Jinuo	milk	me nju me ɪ (me nju = cow, me = breast, i = water)
Naxi	milk	ɣ. nɔ
Zaiwa	milk	-
Mandarin	monkey	hou zi20
Nasu	monkey	a 33 ɳo_ 55
Lisu	monkey	tʃɛ 35 mi 42
Baihong	monkey	a55 mi31
Hani	monkey	al miuvq
Nosu	monkey	anyut
Samei	monkey	a no
Nisu	monkey	A 55 nu_ 21
Biyue	monkey	a55 mv.31
Kucong	monkey	mo
Nusu	monkey	mju
Jinghpo	monkey	woi
Lahu Shi	monkey	tsA31 mɔ 21
Lahu Na	monkey	mawr
Zaozou	monkey	mia 42 o~ 33
Jinuo	monkey	ho ma
Naxi	monkey	ә55 ʑu31
Zaiwa	monkey	mju? 21
Mandarin	moon	ye4 liang0
Nasu	moon	ɳo_ 21 bo_ 21
Lisu	moon	ha 33 ba 33
Baihong	moon	ba31 la31
Hani	moon	ba la
Nosu	moon	hlopbbop
Samei	moon	sɔ bɔ
Nisu	moon	xo 21 bo 21 mo 21
Biyue	moon	bo33 lo33
Kucong	moon	xa ba
Nusu	moon	hɬɔ
Jinghpo	moon	shata
Lahu Shi	moon	xA33 pA33
Lahu Na	moon	ha pa
Zaozou	moon	lɔ 35 læ 31
Jinuo	moon	pu ɬɔ
Naxi	moon	xe33 ga
Zaiwa	moon	lo`_ 55 mo 55
Mandarin	morning	zao shang34
Nasu	morning	ɕe 33 mu 33
Lisu	morning	nɛ 42 nɛ 42
Baihong	morning	ɔ (u?)55 sɔ31
Hani	morning	aoq soq
Nosu	morning	shedex
Samei	morning	nɯ xɯ
Nisu	morning	mu 33 ɕiɛ 55
Biyue	morning	na31 na33
Kucong	morning	mɔ çjɔ
Nusu	morning	ɲi hna
Jinghpo	morning	jahpot
Lahu Shi	morning	mo55 thi53
Lahu Na	morning	mud shawq
Zaozou	morning	na 42 nu 42
Jinuo	morning	nәr (nɚ?) ʃa
Naxi	morning	i dɤ
Zaiwa	morning	nap 21 kjo 55
Mandarin	mortar	yan bo21
Nasu	mortar	-
Lisu	mortar	-
Baihong	mortar	xo (xɔ?)31 lɔ31
Hani	mortar	-
Nosu	mortar	-
Samei	mortar	ɕi
Nisu	mortar	-
Biyue	mortar	-
Kucong	mortar	ca kho tho
Nusu	mortar	phɯ tsɔ
Jinghpo	mortar	-
Lahu Shi	mortar	-
Lahu Na	mortar	ca* bu*
Zaozou	mortar	-
Jinuo	mortar	la khe
Naxi	mortar	-
Zaiwa	mortar	-
Mandarin	mosquito	wen2 zi0
Nasu	mosquito	hɔ 21 ʂo, 33
Lisu	mosquito	hɛ 31 tho 35
Baihong	mosquito	a55 mo55
Hani	mosquito	yalgoq
Nosu	mosquito	bbusse
Samei	mosquito	ʐu hә
Nisu	mosquito	xA 21 sE 55
Biyue	mosquito	ji55 gv.31
Kucong	mosquito	bɯ çә
Nusu	mosquito	dʐɔ
Jinghpo	mosquito	jigrong
Lahu Shi	mosquito	pɤ35 tsa35 qɔ53
Lahu Na	mosquito	peuq caq qawd
Zaozou	mosquito	tɕyi~ 44 ka~ 55 o~ 33
Jinuo	mosquito	xjɔ kjɔ
Naxi	mosquito	mbәr33 tsu31
Zaiwa	mosquito	kja_ŋ 51
Mandarin	mother	ma ma10
Nasu	mother	a 55 me 33
Lisu	mother	a 44 ma 44
Baihong	mother	a31 ma55
Hani	mother	aq ma
Nosu	mother	-
Samei	mother	a mɔ
Nisu	mother	A 55 mo 21
Biyue	mother	a55 mo33
Kucong	mother	a me
Nusu	mother	o bjɛ
Jinghpo	mother	nu
Lahu Shi	mother	A33 mA33
Lahu Na	mother	ae
Zaozou	mother	mæ 44 ʑa 44
Jinuo	mother	a mo
Naxi	mother	-
Zaiwa	mother	a 55 nu 21
Mandarin	mountain	shan1
Nasu	mountain	bɤ 21
Lisu	mountain	ko 44
Baihong	mountain	xɔ55 dɔ55
Hani	mountain	haolgaoq
Nosu	mountain	bbo
Samei	mountain	bu
Nisu	mountain	bɤ 21
Biyue	mountain	jo31 mo33
Kucong	mountain	kho
Nusu	mountain	-
Jinghpo	mountain	bum
Lahu Shi	mountain	kie33 pɤ33
Lahu Na	mountain	qhaw
Zaozou	mountain	ɔ 31 ɔ 31
Jinuo	mountain	ɯ tha (= forest)
Naxi	mountain	njy31
Zaiwa	mountain	pum 21
Mandarin	mouth	zui ba30
Nasu	mouth	ɲe_ 55
Lisu	mouth	mɯ 31 lɯ 35
Baihong	mouth	me31 bɔ31
Hani	mouth	meiq baoq
Nosu	mouth	bbolo
Samei	mouth	khi
Nisu	mouth	ni_ɛ_ 21
Biyue	mouth	o31 mi31
Kucong	mouth	mɯ
Nusu	mouth	hi~ ku
Jinghpo	mouth	n-gup
Lahu Shi	mouth	mɔ 21 qɔ33
Lahu Na	mouth	mawr qaw
Zaozou	mouth	ɲi 44 to 44
Jinuo	mouth	mɯ khɯ
Naxi	mouth	nv55 mbi31
Zaiwa	mouth	nu_t 55
Mandarin	mud	ni ba20
Nasu	mud	ɲe_ 55
Lisu	mud	ne 55 dzɨ 31
Baihong	mud	dza31 ge55
Hani	mud	mil caq mil bieiv
Nosu	mud	nyopbop
Samei	mud	ɲi ho
Nisu	mud	ni_ɛ_ 21 mA 55
Biyue	mud	ɣɤ55 tsɨ31
Kucong	mud	ni cɯ bæ næ
Nusu	mud	mre mre
Jinghpo	mud	hkumpup
Lahu Shi	mud	A35 ji33 vi54
Lahu Na	mud	mie* u*
Zaozou	mud	tsɔ 44 ne 44
Jinuo	mud	a pɹɯ (same as clay)
Naxi	mud	ʂә tʂɯ33
Zaiwa	mud	tse_ 21 li_n 55
Mandarin	mushroom	mo gu20
Nasu	mushroom	-
Lisu	mushroom	-
Baihong	mushroom	a33 xom55
Hani	mushroom	ciq aol
Nosu	mushroom	hmu
Samei	mushroom	mu lʊ
Nisu	mushroom	-
Biyue	mushroom	-
Kucong	mushroom	mo lu
Nusu	mushroom	-
Jinghpo	mushroom	mati
Lahu Shi	mushroom	-
Lahu Na	mushroom	mul
Zaozou	mushroom	-
Jinuo	mushroom	mɯ phu (common type); mɯ phi mɯ tʃɨ (general term)
Naxi	mushroom	mʊ
Zaiwa	mushroom	-
Mandarin	music	yin ye14
Nasu	music	-
Lisu	music	-
Baihong	music	ji (ʒi?)55 jy31
Hani	music	ssilyoq
Nosu	music	-
Samei	music	-
Nisu	music	-
Biyue	music	-
Kucong	music	-
Nusu	music	ʑi jyɛ
Jinghpo	music	shangui shapyo hpa
Lahu Shi	music	-
Lahu Na	music	ka* meu* khawd
Zaozou	music	-
Jinuo	music	kɹә khjɔ (cf sink)
Naxi	music	-
Zaiwa	music	-
Mandarin	(finger) nail	zhi jia30
Nasu	(finger) nail	la_ 55 se 33
Lisu	(finger) nail	lɛ 31 sɯ 31
Baihong	(finger) nail	la31 sɤ55
Hani	(finger) nail	lavqsaoq
Nosu	(finger) nail	-
Samei	(finger) nail	le ne sa gy
Nisu	(finger) nail	li_ɛ_ 21 ʂɨ 33
Biyue	(finger) nail	la31 sɨ31
Kucong	(finger) nail	la çe kho
Nusu	(finger) nail	lo sæ (se?)
Jinghpo	(finger) nail	-
Lahu Shi	(finger) nail	lA31 ɕɛ31 qhɔ53
Lahu Na	(finger) nail	lar shif khaw*
Zaozou	(finger) nail	lou 42 se 31
Jinuo	(finger) nail	la sɨ (sɚ?)
Naxi	(finger) nail	la33 tsɯ31 kv.55
Zaiwa	(finger) nail	lo? 21 siŋ 21
Mandarin	name	ming zi24
Nasu	name	mɚ 33
Lisu	name	e 55 mi 44
Baihong	name	tso31 me (mi?)55
Hani	name	yo miaol
Nosu	name	hmi
Samei	name	-
Nisu	name	mE 55
Biyue	name	o31 mi55
Kucong	name	co mæ
Nusu	name	hmre
Jinghpo	name	mying
Lahu Shi	name	khɛ35 ku31
Lahu Na	name	mie
Zaozou	name	mi 33 khɔ 31
Jinuo	name	a mi
Naxi	name	mi31
Zaiwa	name	mjiŋ 51
Mandarin	navel	du qi42
Nasu	navel	tʂha_ 21
Lisu	navel	tʃhɛ 35 du 31
Baihong	navel	tsɤ55 pi (by?)55
Hani	navel	qal beil
Nosu	navel	quobbupddi
Samei	navel	tɕa bʊ dә
Nisu	navel	A 21 bi 21 du 33
Biyue	navel	dzɔ33 pi31
Kucong	navel	be du
Nusu	navel	tʂo
Jinghpo	navel	shadai
Lahu Shi	navel	tu35 tɕhɛ 21
Lahu Na	navel	xud tu shif
Zaozou	navel	tɕho 42 e~ 33 læ 31
Jinuo	navel	tʃha to
Naxi	navel	mbv33 tɕә55
Zaiwa	navel	tʃho? 55
Mandarin	near	jin4
Nasu	near	nɔ 33
Lisu	near	nɯ 31
Baihong	near	ɲi31
Hani	near	niqcanei
Nosu	near	ggaxnyi
Samei	near	dza
Nisu	near	nE 33
Biyue	near	dʑi55
Kucong	near	a ba
Nusu	near	ɲi
Jinghpo	near	ni
Lahu Shi	near	ɔ31 pA55 ni53
Lahu Na	near	nga* ie*
Zaozou	near	miæ 31
Jinuo	near	a ɕɛ
Naxi	near	nv.55
Zaiwa	near	tʃa_ŋ 55
Mandarin	neck	bo zi20
Nasu	neck	ɳɚ 21 tɕe 21
Lisu	neck	li 33 be 33
Baihong	neck	kɔ31 lɯ55
Hani	neck	kaoqlaol
Nosu	neck	gutzyt
Samei	neck	lә bu dzɔ (cf. tongue?)
Nisu	neck	lɛ_ 21 bɛ_ 21
Biyue	neck	lɤ55 tsɨ31
Kucong	neck	gɔ (qɔ) gu ә
Nusu	neck	la (n)dɔ
Jinghpo	neck	du
Lahu Shi	neck	qɔ31 ku53
Lahu Na	neck	qawf pif
Zaozou	neck	næ 44 khæ 31 tæ 31
Jinuo	neck	lɯ tshɨ
Naxi	neck	tɕәr33 bar
